price,title,location
"₦ 1,200,000 per annum",Furnished 10bdrm Block of Flats in Eyita Estate Area By for rent,"Lagos, Ikorodu"
"₦ 30,000,000 per annum",10bdrm Duplex in Ikeja Gra for rent,"Lagos, Ikeja"
"₦ 360,000,000 per annum",Furnished 10bdrm House in Victoria Island for rent,"Lagos, Victoria Island"
"₦ 23,000,000 per annum",10bdrm Duplex in Lekki for rent,"Lagos, Lekki"
"₦ 8,000,000 per annum","10bdrm Block of Flats in 2Bedroom Flat, Lekki for rent","Lagos, Lekki"
"₦ 15,000,000 per annum",10bdrm Mansion in Adeniyi Jones Ikeja for rent,"Lagos, Ikeja"
"₦ 350,000 per annum","Furnished 10bdrm Shared Apartment in Private Hostel, Akoka for rent","Lagos, Yaba"
"₦ 130,000,000 per annum",10bdrm Duplex in Maitama for rent,"Abuja, Maitama"
"₦ 40,000,000 per annum",10bdrm Duplex in Ikoyi for rent,"Lagos, Ikoyi"
"₦ 30,000,000 per annum","10bdrm Apartment in Opebi, Magodo for Rent","Lagos, Magodo"
"₦ 30,000,000 per annum",10bdrm Mansion in Opebi for Rent,"Lagos, Ikeja"
"₦ 41,000,000 per annum",10bdrm Block of Flats in Igando for rent,"Lagos, Ikotun/Igando"
"₦ 9,000,000 per annum","10bdrm Block of Flats in Lbb Properties, Benin City for rent","Edo, Benin City"
"₦ 135,000,000 per annum",Furnished 10bdrm Block of Flats in 1St Gate- Other Side for rent,"Lagos, Ikorodu"
"₦ 20,000,000","Furnished 5bdrm Duplex in Munzali, Apo Resettlement for rent","Abuja, Apo District"
"₦ 20,000,000",5bdrm Duplex in Katampe Extension for rent,"Abuja, Katampe"
"₦ 7,500,000",5bdrm Duplex in Apo District for rent,"Abuja, Apo District"
"₦ 25,000,000",5bdrm Duplex in Asokoro for rent,"Abuja, Asokoro"
"₦ 20,000,000","5bdrm Duplex in Federal Capital, Wuye for rent","Abuja, Wuye"
"₦ 15,000,000",Furnished 5bdrm Duplex in Lekki for rent,"Lagos, Lekki"
"₦ 50,000,000",5bdrm Duplex in Asokoro for rent,"Abuja, Asokoro"
"₦ 5,000,000",5bdrm Duplex in Crown Estate for rent,"Lagos, Ajah"
"₦ 15,000,000",Furnished 4bdrm Duplex in Ikate for rent,"Lagos, Lekki"
"₦ 170,000,000",Furnished 4bdrm Duplex in Agungi for Rent,"Lagos, Lekki"
